16:31:51:040:273 Monitoring new COM ports...
16:32:30:162:540 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:30:467:331 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:30:772:258 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:31:077:091 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:31:381:830 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:31:686:731 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:31:991:872 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:32:296:805 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:32:601:786 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:32:906:762 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:33:211:765 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:33:516:274 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:33:821:306 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:34:126:255 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:34:431:142 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:34:735:980 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:35:041:002 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:35:347:107 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:35:652:430 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:35:957:411 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:36:262:695 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:36:567:491 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
16:32:36:872:098 [/dev/ttyS30] open error: Could not configure port: (5, 'Input/output error')
