============================================================
Stage 1 | episodes=500 drop=0.0 lr=0.0001
[STEP] az=1.81 prev_primary=1 action=[2, 5] reward=-0.108
[STEP] az=11.79 prev_primary=2 action=[3, 6] reward=+1.000
[STEP] az=11.79 prev_primary=3 action=[3, 6] reward=+1.000
[STEP] az=11.79 prev_primary=3 action=[3, 4] reward=+0.000
[STEP] az=330.83 prev_primary=3 action=[3, 5] reward=+1.000
[STEP] az=330.83 prev_primary=3 action=[6, 5] reward=-1.000
[STEP] az=330.83 prev_primary=6 action=[6, 5] reward=-1.000
[STEP] az=330.83 prev_primary=6 action=[1, 6] reward=+0.997
[STEP] az=330.83 prev_primary=1 action=[1, 6] reward=+0.441
[STEP] az=330.83 prev_primary=1 action=[3, 5] reward=+1.000
[STEP] az=330.83 prev_primary=3 action=[2, 3] reward=-0.136
[STEP] az=352.07 prev_primary=2 action=[5, 2] reward=-0.173
[STEP] az=34.18 prev_primary=5 action=[6, 3] reward=-1.000
[STEP] az=34.18 prev_primary=6 action=[5, 6] reward=+0.827
[STEP] az=34.18 prev_primary=5 action=[3, 2] reward=+0.000
[STEP] az=20.91 prev_primary=3 action=[4, 3] reward=+0.000
[STEP] az=19.99 prev_primary=4 action=[2, 4] reward=-0.119
[STEP] az=15.85 prev_primary=2 action=[2, 5] reward=+0.987
[STEP] az=15.85 prev_primary=2 action=[2, 4] reward=+0.568
[STEP] az=5.55 prev_primary=2 action=[5, 3] reward=-0.173
[STEP] az=324.53 prev_primary=5 action=[4, 1] reward=+0.040
[STEP] az=350.20 prev_primary=4 action=[4, 1] reward=+0.810
[STEP] az=354.05 prev_primary=4 action=[5, 6] reward=+0.827
[STEP] az=354.05 prev_primary=5 action=[2, 5] reward=+0.624
[STEP] az=354.05 prev_primary=2 action=[2, 1] reward=+1.344
[STEP] az=356.79 prev_primary=2 action=[3, 6] reward=+1.000
[STEP] az=356.79 prev_primary=3 action=[1, 4] reward=-0.003
[STEP] az=2.27 prev_primary=1 action=[2, 6] reward=+0.987
[STEP] az=2.27 prev_primary=2 action=[6, 5] reward=-1.000
[STEP] az=2.27 prev_primary=6 action=[2, 4] reward=-0.093
[STEP] az=343.94 prev_primary=2 action=[2, 6] reward=+0.987
[S1] Ep    3/500 | reward=  +9.15 | success=26/50
  cases : leaf_fail=16  primary_fail=8  success=26
  avg   : Rprimary=+0.819(all)  Rangle=-0.733  Rbest=-0.087  R_geom(ref)=+0.030
  total : Rprimary=+41.0  Rangle=-19.1  Rbest=-2.3  R_geom=+1.5
[STEP] az=0.00 prev_primary=5 action=[5, 4] reward=-0.027
[STEP] az=78.74 prev_primary=5 action=[3, 5] reward=+0.000
[STEP] az=322.90 prev_primary=3 action=[5, 4] reward=-0.027
[STEP] az=78.74 prev_primary=5 action=[2, 1] reward=+0.171
[STEP] az=233.86 prev_primary=2 action=[1, 4] reward=-0.002
[STEP] az=293.13 prev_primary=1 action=[3, 4] reward=+0.000
[STEP] az=316.78 prev_primary=3 action=[5, 4] reward=-0.027
[STEP] az=78.74 prev_primary=5 action=[5, 2] reward=-0.027
[STEP] az=33.51 prev_primary=5 action=[2, 3] reward=-0.004
[STEP] az=333.55 prev_primary=2 action=[2, 1] reward=+0.344
[STEP] az=334.49 prev_primary=2 action=[4, 3] reward=+0.000
[STEP] az=9.20 prev_primary=4 action=[6, 1] reward=-0.865
[STEP] az=326.73 prev_primary=6 action=[4, 1] reward=+0.000
[STEP] az=332.22 prev_primary=4 action=[5, 1] reward=+0.903
[STEP] az=348.10 prev_primary=5 action=[1, 3] reward=+1.934
[STEP] az=342.44 prev_primary=1 action=[3, 6] reward=+0.000
[STEP] az=281.28 prev_primary=3 action=[3, 2] reward=+0.144
[STEP] az=352.03 prev_primary=3 action=[4, 2] reward=+0.000
[STEP] az=7.44 prev_primary=4 action=[4, 2] reward=+0.000
[STEP] az=359.49 prev_primary=4 action=[1, 3] reward=+0.133
[STEP] az=352.08 prev_primary=1 action=[5, 1] reward=+0.911
[STEP] az=348.07 prev_primary=5 action=[2, 6] reward=+0.996
[STEP] az=348.07 prev_primary=2 action=[4, 6] reward=+1.000
[STEP] az=348.07 prev_primary=4 action=[6, 1] reward=-0.865
[STEP] az=326.68 prev_primary=6 action=[1, 6] reward=+0.569
[STEP] az=326.68 prev_primary=1 action=[4, 6] reward=+1.000
[STEP] az=326.68 prev_primary=4 action=[4, 1] reward=+0.000
[STEP] az=332.43 prev_primary=4 action=[2, 5] reward=-0.004
[STEP] az=1.45 prev_primary=2 action=[4, 2] reward=+0.000
[STEP] az=7.42 prev_primary=4 action=[1, 3] reward=+1.538
[STEP] az=358.97 prev_primary=1 action=[5, 4] reward=-0.027
[STEP] az=78.74 prev_primary=5 action=[3, 4] reward=+0.000
[STEP] az=322.31 prev_primary=3 action=[4, 1] reward=+0.844
[STEP] az=336.97 prev_primary=4 action=[3, 2] reward=+0.000
[STEP] az=353.50 prev_primary=3 action=[5, 3] reward=-0.027
[STEP] az=322.93 prev_primary=5 action=[3, 6] reward=+1.000
[STEP] az=322.93 prev_primary=3 action=[1, 2] reward=+0.517
[STEP] az=350.16 prev_primary=1 action=[4, 1] reward=+0.000
[STEP] az=329.14 prev_primary=4 action=[3, 4] reward=+0.000
[STEP] az=320.92 prev_primary=3 action=[3, 5] reward=+0.000
[STEP] az=322.92 prev_primary=3 action=[4, 5] reward=+0.000
[STEP] az=19.19 prev_primary=4 action=[1, 6] reward=-0.542
[STEP] az=341.15 prev_primary=1 action=[4, 1] reward=+0.000
[STEP] az=332.60 prev_primary=4 action=[2, 6] reward=+0.996
[STEP] az=332.60 prev_primary=2 action=[2, 4] reward=-0.004
[STEP] az=323.65 prev_primary=2 action=[2, 6] reward=+0.996
[STEP] az=323.65 prev_primary=2 action=[2, 4] reward=-0.004
[STEP] az=327.67 prev_primary=2 action=[6, 5] reward=-0.865
[STEP] az=303.63 prev_primary=6 action=[2, 6] reward=+0.996
[STEP] az=303.63 prev_primary=2 action=[2, 1] reward=-0.004
[S1] Ep    4/500 | reward= +11.67 | success=42/50
  cases : leaf_fail=8  success=42
  avg   : Rprimary=+0.943(all)  Rangle=-0.821  Rbest=-0.013  R_geom(ref)=+0.172
  total : Rprimary=+47.1  Rangle=-34.5  Rbest=-0.5  R_geom=+8.6
[STEP] az=56.46 prev_primary=2 action=[1, 5] reward=-0.634
[STEP] az=41.87 prev_primary=1 action=[5, 4] reward=-0.027
[STEP] az=6.61 prev_primary=5 action=[1, 6] reward=+1.133
[STEP] az=349.84 prev_primary=1 action=[4, 2] reward=-0.008
[STEP] az=316.96 prev_primary=4 action=[1, 2] reward=-0.653
[STEP] az=327.68 prev_primary=1 action=[3, 2] reward=+0.000
[STEP] az=327.30 prev_primary=3 action=[6, 1] reward=-0.257
[STEP] az=327.40 prev_primary=6 action=[2, 3] reward=+1.452
[STEP] az=306.21 prev_primary=2 action=[3, 4] reward=+0.000
[STEP] az=270.00 prev_primary=3 action=[3, 2] reward=+0.000
[STEP] az=325.18 prev_primary=3 action=[4, 6] reward=+0.992
[STEP] az=325.18 prev_primary=4 action=[1, 6] reward=+0.714
[STEP] az=325.18 prev_primary=1 action=[5, 2] reward=-0.027
[STEP] az=351.56 prev_primary=5 action=[4, 5] reward=-0.008
[STEP] az=328.86 prev_primary=4 action=[1, 2] reward=-0.437
[STEP] az=331.87 prev_primary=1 action=[5, 3] reward=-0.027
[STEP] az=320.34 prev_primary=5 action=[3, 6] reward=+0.000
[STEP] az=280.86 prev_primary=3 action=[2, 6] reward=-0.027
[STEP] az=307.05 prev_primary=2 action=[6, 4] reward=-0.257
[STEP] az=38.01 prev_primary=6 action=[5, 6] reward=-0.027
[STEP] az=320.99 prev_primary=5 action=[3, 4] reward=+0.000
[STEP] az=270.00 prev_primary=3 action=[5, 2] reward=-0.027
[STEP] az=350.14 prev_primary=5 action=[2, 5] reward=-0.027
[STEP] az=311.76 prev_primary=2 action=[5, 6] reward=-0.027
[STEP] az=319.84 prev_primary=5 action=[1, 5] reward=-0.538
[STEP] az=297.03 prev_primary=1 action=[3, 1] reward=+0.076
[STEP] az=318.44 prev_primary=3 action=[4, 6] reward=+0.992
[STEP] az=318.44 prev_primary=4 action=[5, 2] reward=-0.027
[STEP] az=350.38 prev_primary=5 action=[2, 3] reward=-0.027
[STEP] az=305.54 prev_primary=2 action=[2, 4] reward=-0.617
[STEP] az=304.04 prev_primary=2 action=[3, 4] reward=+0.000
[STEP] az=270.00 prev_primary=3 action=[3, 4] reward=+0.000
[STEP] az=270.00 prev_primary=3 action=[6, 3] reward=-1.000
[STEP] az=270.00 prev_primary=6 action=[5, 6] reward=-0.027
[STEP] az=324.83 prev_primary=5 action=[2, 4] reward=-0.694
[STEP] az=316.15 prev_primary=2 action=[3, 1] reward=+0.088
[STEP] az=318.38 prev_primary=3 action=[4, 5] reward=-0.008
[STEP] az=319.94 prev_primary=4 action=[2, 1] reward=-0.027
[STEP] az=294.06 prev_primary=2 action=[5, 6] reward=+0.973
[STEP] az=294.06 prev_primary=5 action=[5, 3] reward=-0.027
[STEP] az=320.43 prev_primary=5 action=[1, 5] reward=-0.141
[STEP] az=300.51 prev_primary=1 action=[5, 2] reward=-0.027
[STEP] az=350.97 prev_primary=5 action=[6, 3] reward=-0.257
[STEP] az=280.85 prev_primary=6 action=[5, 6] reward=+0.973
[STEP] az=280.85 prev_primary=5 action=[6, 4] reward=-0.257
[STEP] az=37.96 prev_primary=6 action=[2, 4] reward=-0.557
[STEP] az=56.39 prev_primary=2 action=[6, 5] reward=-0.257
[STEP] az=291.78 prev_primary=6 action=[1, 6] reward=+1.281
[STEP] az=305.26 prev_primary=1 action=[6, 1] reward=-0.257
[STEP] az=327.41 prev_primary=6 action=[5, 1] reward=-0.027
[S1] Ep    5/500 | reward=  +1.43 | success=44/50
  cases : leaf_fail=5  primary_fail=1  success=44
  avg   : Rprimary=+0.936(all)  Rangle=-0.900  Rbest=-0.102  R_geom(ref)=+0.068
  total : Rprimary=+46.8  Rangle=-39.6  Rbest=-4.5  R_geom=+3.4
[STEP] az=302.80 prev_primary=5 action=[2, 6] reward=-0.946
[STEP] az=179.82 prev_primary=2 action=[1, 2] reward=+0.133
[STEP] az=179.82 prev_primary=1 action=[6, 3] reward=-0.345
[STEP] az=254.79 prev_primary=6 action=[1, 5] reward=-0.482
[STEP] az=237.39 prev_primary=1 action=[1, 6] reward=-0.069
[STEP] az=256.67 prev_primary=1 action=[5, 3] reward=-0.358
[STEP] az=320.73 prev_primary=5 action=[5, 3] reward=-0.352
[STEP] az=320.76 prev_primary=5 action=[2, 4] reward=-0.946
[STEP] az=172.98 prev_primary=2 action=[6, 5] reward=+1.341
[STEP] az=266.71 prev_primary=6 action=[3, 2] reward=+0.000
[STEP] az=266.71 prev_primary=3 action=[2, 1] reward=-0.946
[STEP] az=283.90 prev_primary=2 action=[1, 3] reward=+1.424
[STEP] az=272.84 prev_primary=1 action=[5, 4] reward=-0.355
[STEP] az=314.49 prev_primary=5 action=[6, 4] reward=-0.346
[STEP] az=37.27 prev_primary=6 action=[2, 5] reward=-0.946
[STEP] az=219.29 prev_primary=2 action=[1, 3] reward=-0.111
[STEP] az=277.47 prev_primary=1 action=[5, 6] reward=+1.340
[STEP] az=266.74 prev_primary=5 action=[5, 6] reward=+1.345
[STEP] az=266.76 prev_primary=5 action=[3, 1] reward=-1.000
[STEP] az=280.05 prev_primary=3 action=[3, 2] reward=+1.000
[STEP] az=280.05 prev_primary=3 action=[3, 2] reward=+0.000
[STEP] az=280.05 prev_primary=3 action=[6, 3] reward=+1.107
[STEP] az=265.54 prev_primary=6 action=[1, 3] reward=-0.111
[STEP] az=277.47 prev_primary=1 action=[1, 5] reward=-0.008
[STEP] az=237.70 prev_primary=1 action=[6, 1] reward=-0.343
[STEP] az=326.73 prev_primary=6 action=[6, 4] reward=-0.342
[STEP] az=37.24 prev_primary=6 action=[5, 6] reward=+1.343
[STEP] az=266.76 prev_primary=5 action=[6, 3] reward=-0.344
[STEP] az=281.02 prev_primary=6 action=[3, 5] reward=+0.000
[STEP] az=157.81 prev_primary=3 action=[6, 4] reward=-0.340
[STEP] az=37.27 prev_primary=6 action=[2, 1] reward=-0.946
[STEP] az=283.90 prev_primary=2 action=[3, 1] reward=+0.000
[STEP] az=291.97 prev_primary=3 action=[4, 5] reward=-0.008
[STEP] az=255.28 prev_primary=4 action=[4, 3] reward=-0.008
[STEP] az=209.29 prev_primary=4 action=[3, 4] reward=+2.000
[STEP] az=270.00 prev_primary=3 action=[5, 6] reward=+1.336
[STEP] az=266.72 prev_primary=5 action=[6, 2] reward=+0.657
[STEP] az=266.72 prev_primary=6 action=[1, 4] reward=+0.680
[STEP] az=264.55 prev_primary=1 action=[3, 5] reward=-1.000
[STEP] az=157.83 prev_primary=3 action=[2, 3] reward=-0.946
[STEP] az=230.49 prev_primary=2 action=[5, 6] reward=+1.339
[STEP] az=266.73 prev_primary=5 action=[4, 2] reward=+0.992
[STEP] az=266.73 prev_primary=4 action=[3, 4] reward=+2.000
[STEP] az=270.00 prev_primary=3 action=[2, 3] reward=-0.946
[STEP] az=230.48 prev_primary=2 action=[2, 3] reward=-0.946
[STEP] az=230.48 prev_primary=2 action=[6, 5] reward=+1.345
[STEP] az=266.72 prev_primary=6 action=[6, 1] reward=-0.340
[STEP] az=326.72 prev_primary=6 action=[3, 1] reward=-1.000
[STEP] az=285.53 prev_primary=3 action=[4, 5] reward=-0.008
[STEP] az=255.28 prev_primary=4 action=[5, 2] reward=+0.646
[S1] Ep    6/500 | reward=  +5.19 | success=43/50
  cases : leaf_fail=7  success=43
  avg   : Rprimary=+0.845(all)  Rangle=-0.584  Rbest=-0.196  R_geom(ref)=+0.358
  total : Rprimary=+42.3  Rangle=-25.1  Rbest=-8.4  R_geom=+17.9
[STEP] az=90.00 prev_primary=4 action=[5, 3] reward=-0.181
[STEP] az=314.75 prev_primary=5 action=[6, 2] reward=-0.008
[STEP] az=321.27 prev_primary=6 action=[2, 6] reward=-0.124
[STEP] az=244.41 prev_primary=2 action=[3, 4] reward=-0.094
[STEP] az=162.68 prev_primary=3 action=[4, 6] reward=-1.000
[STEP] az=202.02 prev_primary=4 action=[2, 3] reward=-0.124
[STEP] az=110.84 prev_primary=2 action=[1, 3] reward=-1.000
[STEP] az=110.84 prev_primary=1 action=[1, 2] reward=-0.545
[STEP] az=74.32 prev_primary=1 action=[5, 2] reward=+0.493
[STEP] az=74.32 prev_primary=5 action=[5, 2] reward=+0.470
[STEP] az=74.32 prev_primary=5 action=[1, 3] reward=-1.000
[STEP] az=74.32 prev_primary=1 action=[2, 4] reward=+0.858
[STEP] az=84.91 prev_primary=2 action=[3, 6] reward=-0.094
[STEP] az=68.74 prev_primary=3 action=[2, 5] reward=+0.472
[STEP] az=68.74 prev_primary=2 action=[1, 4] reward=-1.000
[STEP] az=68.74 prev_primary=1 action=[4, 2] reward=-0.611
[STEP] az=81.95 prev_primary=4 action=[1, 4] reward=-1.000
[STEP] az=81.95 prev_primary=1 action=[4, 6] reward=-1.000
[STEP] az=201.89 prev_primary=4 action=[6, 3] reward=-0.008
[STEP] az=140.34 prev_primary=6 action=[2, 1] reward=-0.124
[STEP] az=133.88 prev_primary=2 action=[5, 1] reward=-0.181
